muscle,F_max,l_opt,l_slack,v_max,W,C,N,K,E_REF
perbrev_r,476.85428729021766,0.04512994242734093,0.1467418671044258,10.000000011005238,0.7147451389439565,-2.381570366098829,1.5000000110052245,5.0000000110052225,0.04000000007832317
perlong_r,997.3012406672416,0.05587999800923446,0.3257994910424314,10.000000001252696,0.6406362064274885,-2.145453667076221,1.5000000012526933,5.000000001252694,0.04000000000000001
piri_r,941.2849507784973,0.028594038023767664,0.11202833871083011,10.000000099947638,0.6370906123977005,-2.2426427600619294,1.5000000999476382,5.000000099947639,0.04000000000000001
psoas_r,1302.7846063375534,0.11145234817625202,0.09738682884371186,10.000000000000563,0.8124891983264516,-1.7949040005299226,1.500000045784791,5.000000045785271,0.040000027205943756
recfem_r,2044.3869120656032,0.07647397688364756,0.3440414883130325,15.000000000000002,1.3582715655173765,-11.155315551241943,1.5000000000000002,5.000000000000001,0.04000000000000427
sart_r,234.7950714789906,0.40131615361644074,0.12300764358993385,10.000000000000002,0.7101054467515643,-2.539829683218956,1.5000000000000002,5.000000000000001,0.040000000000012435
semimem_r,1997.752983272559,0.06742626584353556,0.3465791733342355,10.000000000495788,0.9334415383481626,-3.2141537297574354,1.5000000665578797,5.000000066826026,0.04000003810408412
semiten_r,540.9211182562095,0.18294934832624202,0.2456227826619055,10.00000006870914,0.9334415383481626,-3.2141537297574354,1.5000000665578797,5.000000066826026,0.04000003810408412
soleus_r,6545.951547364834,0.04381718889197102,0.2493413486793583,15.000000096990908,0.7418728783349263,-1.5937058449997268,1.5000000969892548,5.000000096989683,0.04000009960675376
tfl_r,381.9569560553685,0.1044998051782641,0.4402947567084187,10.000000099999998,0.6321934059354934,-2.3067656694322567,1.5000000999999976,5.000000099999998,0.04000000000000001
tibant_r,1938.1611864177476,0.06878943736168754,0.2369898731855931,15.000000000000002,0.7679244712008386,-1.673766565490022,1.5000000000000002,5.000000000000001,0.040000051022621864
tibpost_r,1559.7971478045492,0.037662087257935885,0.2799044714553682,10.000000099949888,0.7149876166285692,-2.310145052764689,1.5000000999498833,5.000000099949886,0.040000099500000004
vasint_r,1584.6139603350537,0.10916661592676723,0.19238482589351158,10.000000000000002,1.4546046934811272,-11.521303892910868,1.5000000999997134,5.000000099999713,0.04000000000004607
vaslat_r,4719.319462472198,0.09459726423692087,0.21936649023505164,10.000000099985945,1.4546046934811272,-11.521303892910868,1.5000000999997134,5.000000099999713,0.04000000000004607
vasmed_r,2297.8378651801995,0.10647999870961515,0.18376071258088003,10.000000099999998,1.4546046934811272,-11.521303892910868,1.5000000999997134,5.000000099999713,0.04000000000004607
