muscle,F_max,l_opt,l_slack,v_max,W,C,N,K,E_REF
glmed3_r,781.097595799114,0.06850324182944509,0.04341156428520351,10.000000000626498,0.8028306950585438,-3.0536507352051103,1.5000000000939748,5.000000000313249,0.0400000000746387
glmin1_r,345.34901202683403,0.0668114724828769,0.015998972768948818,10.000000000000002,0.7214765332157738,-2.3606723330598567,1.5000000000000002,5.000000000000001,0.0400000004975
glmin2_r,370.86451635005926,0.053876709358138264,0.025920299571532225,10.000000001850246,0.7748478143021162,-3.3786472798375144,1.5000000002775369,5.000000000925123,0.04000000008284916
glmin3_r,419.4122623213127,0.041788952757559956,0.04710702729216335,10.000000099999998,0.6467873400410252,-2.5529399636413554,1.500000099999999,5.000000099999999,0.04000000000000001
grac_r,260.2728720660388,0.2379388432507299,0.15481334500742724,10.000000000000295,0.6810130097360759,-2.3717563048924197,1.5000000000002953,5.000000000000296,0.04000000000000001
iliacus_r,919.4805595341408,0.10110516217115066,0.09312491955700111,10.000000000754818,0.7770144125865797,-2.786093398138173,1.5000000001132228,5.000000000377409,0.04000000006892178
perbrev_r,476.85428729021766,0.04512994242734093,0.1467418671044258,10.000000011005238,0.7147451389439565,-2.381570366098829,1.5000000110052245,5.0000000110052225,0.04000000007832317
perlong_r,997.3012406672416,0.05587999800923446,0.3257994910424314,10.000000001252696,0.6406362064274885,-2.145453667076221,1.5000000012526933,5.000000001252694,0.04000000000000001
piri_r,941.2849507784973,0.028594038023767664,0.11202833871083011,10.000000099947638,0.6370906123977005,-2.2426427600619294,1.5000000999476382,5.000000099947639,0.04000000000000001
psoas_r,1302.7846063375534,0.11145234817625202,0.09738682884371186,10.000000000000563,0.7997726824857081,-3.1881067652615056,1.5000000000000844,5.0000000000002816,0.04000000007922914
recfem_r,1982.5609307807704,0.0760654183669235,0.44657223382806105,10.000000000000002,0.7061763223414781,-2.264069336749506,1.5000000000000002,5.000000000000001,0.04000000000219711
sart_r,234.7950714789906,0.40131615361644074,0.12300764358993385,10.000000000000002,0.7101054467515643,-2.539829683218956,1.5000000000000002,5.000000000000001,0.040000000000012435
semimem_r,1997.752983272559,0.06742626584353556,0.3465791733342355,10.000000000495788,0.7403782268542748,-2.48416414685513,1.5000000004957679,5.000000000495776,0.04000002164161232
semiten_r,540.9211182562095,0.18294934832624202,0.2456227826619055,10.00000006870914,0.7864996063695984,-3.2402592079272963,1.5000000684404835,5.000000068551108,0.04000000011221265
soleus_r,5274.901997545689,0.040208222079808,0.2774852862498126,10.000000060917353,0.7768329991503047,-1.9198224196605516,1.5000000609173525,5.000000060917352,0.04000009999851217
tfl_r,381.9569560553685,0.1044998051782641,0.4402947567084187,10.000000099999998,0.6321934059354934,-2.3067656694322567,1.5000000999999976,5.000000099999998,0.04000000000000001
tibant_r,1115.592583342153,0.0751289014489319,0.23276735102742846,10.000000000497513,0.6310077982933923,-2.1182713007973564,1.5000000004975125,5.000000000497512,0.04000000000000001
tibpost_r,1559.7971478045492,0.037662087257935885,0.2799044714553682,10.000000099949888,0.7149876166285692,-2.310145052764689,1.5000000999498833,5.000000099949886,0.040000099500000004
vasint_r,1584.6139603350537,0.10916661592676723,0.19238482589351158,10.000000000000002,0.6394853093961752,-2.408734542507906,1.5000000000000002,5.000000000000001,0.04000000000000001
vaslat_r,4719.319462472198,0.09459726423692087,0.21936649023505164,10.000000099985945,0.7762457792036535,-3.1880427238869986,1.5000000999858245,5.000000099985875,0.040000000103502124
vasmed_r,2297.8378651801995,0.10647999870961515,0.18376071258088003,10.000000099999998,0.6303020713043962,-1.6605992338646718,1.5000000999999987,5.0000000999999985,0.04000000000000001
